Longitude,Latitude
600013.7971612128,6615537.209981232
600013.7936327328,6615537.215457613
600013.7946401128,6615537.219941183
600013.7802581304,6615537.25186694
600013.7632087748,6615537.27815056
600013.7490948552,6615537.300056088
600013.6240697306,6615538.096674924
600013.7227881374,6615539.758293127
600013.7184607735,6615539.751492429
600013.7098927493,6615539.755719835
600013.7041708048,6615539.758909228
600013.6947145403,6615539.7541996315
600013.6839530495,6615539.756140049
600013.6637055094,6615539.754484227
600013.6535966316,6615539.753099638
600013.6463636183,6615539.749563676
600013.6547827191,6615539.750903058
600013.6557033946,6615539.737557825
600013.637351474,6615539.749322583
600013.1855131561,6615540.099335455
600013.178369497,6615540.092459415
600014.1145184126,6615537.651877648
600014.1087785097,6615538.034993525
600014.7057365987,6615538.349557158
600015.2199614657,6615540.260720479
600014.8665305926,6615540.493037028
600014.4329103258,6615539.298203687
600014.3719129052,6615539.197412042
600013.3662014985,6615539.62396829
600013.357248923,6615539.62150048
600013.358343008,6615539.643812856
600011.8514939271,6615535.900049651
600011.7991247373,6615536.024548238
600011.7819562545,6615536.055285303
600011.7466469674,6615536.068824742
600011.7325032717,6615536.091843638
600011.7035063388,6615536.1222642725
600011.6818317805,6615536.152880795
600011.6546139794,6615536.180006557
600011.6313687796,6615536.206124441
600011.6047142387,6615536.233265271
600011.594453793,6615536.258616362
600011.5678886051,6615536.282417119
600011.5376758038,6615536.316147694
600011.5205073241,6615536.34688476
600011.4950984402,6615536.369602295
600011.4719723787,6615536.391266743
600011.461238027,6615536.413262689
600011.4337250256,6615536.430353158
600011.4167054676,6615536.455523434
600011.3969887482,6615536.476164931
600011.3833785314,6615536.500312256
600011.3541757527,6615536.517357522
600011.3439450936,6615536.541595252
600011.3330022551,6615536.571384707
600011.3183250881,6615536.593275178
600011.3004172842,6615536.609508449
600011.2758695023,6615536.621107468
600011.2662616714,6615536.643133549
600011.267000999,6615536.657637346
600011.2611599164,6615536.665280174
600011.2635294545,6615536.682055892
600011.2594675024,6615536.686403852
600011.2529738084,6615536.6973716905
600011.2650081094,6615536.7110634865
600011.2501548755,6615536.7184652295
600011.2364579443,6615536.724783749
600011.2344405423,6615536.736985491
600011.2341427028,6615536.748119072
600011.2307307265,6615536.770310904
600011.2201155128,6615536.787853418
600011.215222246,6615536.802206534
600011.2146265671,6615536.824473703
600011.2137059002,6615536.837818937
600011.208991337,6615536.845491904
600011.1989691671,6615536.861936124
600011.1778902957,6615536.870285479
600011.1764361536,6615536.882502285
600011.1676894224,6615536.893409853
600011.1745054685,6615536.912532831
600011.1691085101,6615536.924644162
600011.176991507,6615536.946023994
600011.1761304082,6615536.957142511
600011.1688649681,6615536.975888791
